PP,,PP-PAR,,PP-FORO,,UPN-PP,,PSOE,,PSC,,PSOE-Nca,,PODEMOS,,PODEMOS-COMPROMÍS,,PODEMOS-En Marea-ANOVA-EU,,EN COMÚ,,C's,,ERC-CATSÍ,,DL,,EAJ-PNV,,UP-UPeC,,EH Bildu,,CCa-PNC,,PACMA,asdf,UPYD,asdf,NÓS,asdf,unio.cat,asdf,VOX,asdf,RECORTES CERO-GRUPO VERDE,asdf,MÉS,asdf,GBAI,asdf,PCPE,asdf,EL PI,asdf,CCD,asdf,EB,asdf,FE de las JONS,asdf,PCPC,asdf,SOMVAL,asdf,X IZDA,asdf,PUM+J,asdf,SAIn,asdf,CENTRO MODERADO,asdf,PT,asdf,CANARIAS DECIDE,asdf,P-LIB,asdf,PH,asdf,ARAPV,asdf,EU-eX,asdf,PCOE,asdf,IFem,asdf,EB - AZ,asdf,EZKERRA,asdf,DN,asdf,EN POSITIU,asdf,CILUS,asdf,PREPAL,asdf,CRA,asdf,Ln,asdf,AVANT,asdf,mlgXSÍ,asdf,PLD,asdf,PFyV,asdf,AJU,asdf,Independientes-FIA,asdf,FDEE,asdf,SOLUCIONA,asdf,"JS,PC",asdf,DN,asdf,+MAS+,asdf,OE,asdf
67941,2,,,,,,,41973,1,,,,,28073,1,,,,,,,26812,,,,,,,,7423,,,,,,1177,asdf,1361,asdf,,asdf,,asdf,,asdf,360,asdf,,asdf,,asdf,229,asdf,,asdf,,asdf,362,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
86446,2,,,,,,,48772,1,,,,,,,,,39122,1,,,15441,,,,,,,,,,,,,,1633,asdf,971,asdf,7253,asdf,,asdf,,asdf,443,asdf,,asdf,,asdf,421,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,405,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
1210219,13,,,,,,,645645,6,,,,,756257,8,,,,,,,681167,7,,,,,,,190193,2,,,,,28322,asdf,43508,asdf,,asdf,,asdf,22643,asdf,4037,asdf,,asdf,,asdf,1742,asdf,,asdf,,asdf,,asdf,4579,asdf,,asdf,,asdf,4994,asdf,2870,asdf,1137,asdf,,asdf,,asdf,,asdf,1075,asdf,1779,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
224745,4,,,,,,,208896,3,,,,,132980,2,,,,,,,132586,2,,,,,,,52772,,,,,,8886,asdf,4522,asdf,,asdf,,asdf,1817,asdf,974,asdf,,asdf,,asdf,1029,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,290,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,934,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,409,asdf,,asdf,,asdf,,asdf,,asdf
293943,5,,,,,,,147883,2,,,,,110601,1,,,,,,,128570,2,,,,,,,22767,,,,,,6591,asdf,5442,asdf,,asdf,,asdf,3282,asdf,1268,asdf,,asdf,,asdf,1051,asdf,,asdf,,asdf,1063,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,330,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,313,asdf,,asdf
,,,,,,102244,2,54856,1,,,,,81216,2,,,,,,,24969,,,,,,,,14528,,34939,,,,2343,asdf,1452,asdf,,asdf,,asdf,,asdf,956,asdf,,asdf,30642,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,913,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,576,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
86673,2,,,,,,,44726,1,,,,,,,,,34357,1,,,15174,,,,,,,,,,,,,,1406,asdf,777,asdf,6455,asdf,,asdf,,asdf,399,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,873,asdf,,asdf,,asdf,,asdf,344,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
,,,,187568,3,,,145113,2,,,,,132984,2,,,,,,,84464,1,,,,,,,52583,,,,,,4555,asdf,3855,asdf,,asdf,,asdf,1715,asdf,1038,asdf,,asdf,,asdf,1240,asdf,,asdf,,asdf,1869,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,392,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
42182,2,,,,,,,25698,1,,,,,14083,,,,,,,,14814,,,,,,,,4699,,,,,,624,asdf,828,asdf,,asdf,,asdf,,asdf,159,asdf,,asdf,,asdf,126,asdf,,asdf,,asdf,182,asdf,218,asdf,,asdf,,asdf,,asdf,,asdf,72,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
145372,3,,,,,,,,,,,115521,2,136583,2,,,,,,,63385,1,,,,,,,15262,,,,21788,,5351,asdf,2564,asdf,,asdf,,asdf,774,asdf,1478,asdf,,asdf,,asdf,953,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,616,asdf,300,asdf,,asdf,,asdf,1605,asdf,,asdf,439,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
197201,3,,,,,,,118988,2,,,,,,,,,159638,2,,,51453,,,,,,,,,,,,,,5315,asdf,3177,asdf,26537,asdf,,asdf,,asdf,1439,asdf,,asdf,,asdf,1377,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,1158,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
89375,2,,,,,,,45593,1,,,,,25743,,,,,,,,35242,1,,,,,,,7017,,,,,,1175,asdf,1669,asdf,,asdf,,asdf,822,asdf,319,asdf,,asdf,,asdf,264,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,251,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
138203,2,,,,,,,,,,,102892,2,94936,1,,,,,,,50257,1,,,,,,,15716,,,,60129,1,6537,asdf,2117,asdf,,asdf,,asdf,772,asdf,1182,asdf,,asdf,,asdf,759,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,1278,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
129216,2,,,,,,,78460,1,,,,,62569,1,,,,,,,53371,1,,,,,,,15488,,,,,,2943,asdf,2875,asdf,,asdf,,asdf,901,asdf,529,asdf,,asdf,,asdf,461,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,173,asdf,,asdf,,asdf,,asdf,,asdf,236,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
36182,2,,,,,,,19769,1,,,,,13144,,,,,,,,15665,,,,,,,,3742,,,,,,517,asdf,1274,asdf,,asdf,,asdf,,asdf,227,asdf,,asdf,,asdf,190,asdf,,asdf,,asdf,,asdf,223,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
275463,3,,,,,,,371142,5,,,,,208408,2,,,,,,,142574,2,,,,,,,62309,,,,,,9976,asdf,6421,asdf,,asdf,,asdf,2717,asdf,1413,asdf,,asdf,,asdf,893,asdf,,asdf,,asdf,,asdf,989,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,652,asdf,,asdf,,asdf,,asdf,1096,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
20030,1,,,,,,,12331,1,,,,,8328,,,,,,,,7872,,,,,,,,1836,,,,,,192,asdf,327,asdf,,asdf,,asdf,,asdf,86,asdf,,asdf,,asdf,54,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,101,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
45619,1,,,,,,,,,58922,1,,,,,,,,,77036,1,53152,1,65272,1,57071,1,,,,,,,,,4170,asdf,686,asdf,,asdf,6324,asdf,,asdf,894,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,705,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,625,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
,,28282,2,,,,,19938,1,,,,,11895,,,,,,,,11427,,,,,,,,3897,,,,,,375,asdf,456,asdf,,asdf,,asdf,,asdf,139,asdf,,asdf,,asdf,97,asdf,,asdf,,asdf,313,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
149442,2,,,,,,,106988,2,,,,,52587,1,,,,,,,53199,1,,,,,,,13590,,,,,,3039,asdf,1901,asdf,,asdf,,asdf,1509,asdf,612,asdf,,asdf,,asdf,306,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
442578,5,,,,,,,276188,3,,,,,,,397207,5,,,,,221896,2,,,,,,,68961,,,,,,14494,asdf,9990,asdf,,asdf,,asdf,4135,asdf,2761,asdf,,asdf,,asdf,2091,asdf,,asdf,7111,asdf,,asdf,,asdf,,asdf,5232,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,1482,asdf,,asdf,,asdf,1002,asdf,,asdf,,asdf,,asdf,1276,asdf,,asdf,,asdf,,asdf,,asdf,1003,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
121323,2,,,,,,,70879,1,,,,,50204,1,,,,,,,56347,1,,,,,,,17935,,,,,,1735,asdf,2940,asdf,,asdf,,asdf,1230,asdf,489,asdf,,asdf,,asdf,429,asdf,,asdf,1579,asdf,,asdf,411,asdf,,asdf,,asdf,,asdf,,asdf,272,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,289,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
74560,1,,,,,,,84893,1,,,,,170728,2,,,,,,,25148,,,,,,182604,3,18466,,81704,1,,,4342,asdf,2012,asdf,,asdf,,asdf,,asdf,1089,asdf,,asdf,,asdf,414,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,479,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,1045,asdf,1447,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,406,asdf,,asdf,,asdf,,asdf
48160,2,,,,,,,25985,1,,,,,14608,,,,,,,,15865,,,,,,,,5514,,,,,,502,asdf,747,asdf,,asdf,,asdf,246,asdf,187,asdf,,asdf,,asdf,128,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
,,161662,3,,,,,118936,2,,,,,102596,1,,,,,,,95130,1,,,,,,,34869,,,,,,4057,asdf,4514,asdf,,asdf,,asdf,1849,asdf,1088,asdf,,asdf,,asdf,845,asdf,,asdf,,asdf,2967,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,562,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
14813,1,,,,,,,7627,,,,,,4646,,,,,,,,4392,,,,,,,,431,,,,,,358,asdf,197,asdf,,asdf,,asdf,,asdf,146,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
12331,1,,,,,,,6905,,,,,,3215,,,,,,,,4366,,,,,,,,366,,,,,,314,asdf,240,asdf,,asdf,,asdf,,asdf,46,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
6717432,112,229691,6,187568,3,102244,2,4736628,78,590274,8,218413,4,3197327,42,673549,9,410698,6,929880,12,3515785,40,601782,9,567253,8,302316,6,926783,2,219125,2,81917,1,220369,0,155153,0,70863,0,65388,0,58360,0,48675,0,33877,0,30642,0,24063,0,12910,0,10827,0,7941,0,7495,0,7116,0,6103,0,5867,0,4586,0,4400,0,3278,0,3026,0,2883,0,2854,0,2846,0,2503,0,2021,0,1909,0,1604,0,1518,0,1447,0,1348,0,1276,0,1189,0,1173,0,1032,0,1026,0,1003,0,934,0,830,0,714,0,711,0,676,0,456,0,409,0,406,0,356,0,313,0,110,0
